,city,population,country,lat,lng
149,Tirana,374801,Albania,41.3275,19.8189
13,Vienna,1691468,Austria,48.2085,16.3721
320,Graz,222326,Austria,47.0667,15.45
357,Linz,204846,Austria,48.3064,14.2861
367,Favoriten,201882,Austria,48.1612,16.3823
401,Donaustadt,187007,Austria,48.2333,16.46
479,Floridsdorf,162779,Austria,48.25,16.4
9,Minsk,1742124,Belarus,53.9,27.5667
113,Gomel,480951,Belarus,52.4345,30.9754
153,Mahilyow,369200,Belarus,53.9168,30.3449
170,Vitebsk,342700,Belarus,55.1904,30.2049
194,Hrodna,317365,Belarus,53.6884,23.8258
214,Brest,300715,Belarus,52.0975,23.6877
324,Babruysk,220517,Belarus,53.1384,29.2214
450,Baranovichi,168772,Belarus,53.1327,26.0139
35,Brussels,1019022,Belgium,50.8504,4.34878
121,Antwerpen,459805,Belgium,51.2199,4.40346
302,Gent,231493,Belgium,51.05,3.71667
369,Charleroi,200132,Belgium,50.4114,4.44448
415,Liege,182597,Belgium,50.6337,5.56749
59,Sarajevo,696731,Bosnia and Herzegovina,43.8486,18.3564
323,Banja Luka,221106,Bosnia and Herzegovina,44.7784,17.1939
470,Zenica,164423,Bosnia and Herzegovina,44.2017,17.904
25,Sofia,1152556,Bulgaria,42.6975,23.3242
172,Plovdiv,340494,Bulgaria,42.15,24.75
204,Varna,312770,Bulgaria,43.2167,27.9167
384,Burgas,195966,Bulgaria,42.5061,27.4678
58,Zagreb,698966,Croatia,45.8144,15.978
431,Split,176314,Croatia,43.5089,16.4391
368,Nicosia,200452,Cyprus,35.1753,33.3642
23,Prague,1165581,Czech Republic,50.088,14.4208
152,Brno,369559,Czech Republic,49.1952,16.608
203,Ostrava,313088,Czech Republic,49.8346,18.282
472,Pilsen,164180,Czech Republic,49.7475,13.3776
24,Copenhagen,1153615,Denmark,55.6759,12.5655
288,Arhus,237551,Denmark,56.1567,10.2108
142,Tallinn,394024,Estonia,59.437,24.7535
89,Helsinki,558457,Finland,60.1695,24.9354
259,Espoo,256760,Finland,60.2052,24.6522
364,Tampere,202687,Finland,61.4991,23.7871
393,Vantaa,190058,Finland,60.2941,25.041
433,Turku,175945,Finland,60.4515,22.2687
7,Paris,2138551,France,48.8534,2.3488
49,Marseille,794811,France,43.297,5.38107
117,Lyon,472317,France,45.7485,4.84671
129,Toulouse,433055,France,43.6043,1.44367
174,Nice,338620,France,43.7031,7.26608
238,Nantes,277269,France,47.2173,-1.55336
241,Strasbourg,274845,France,48.5839,7.74553
272,Montpellier,248252,France,43.6109,3.87723
301,Bordeaux,231844,France,44.8404,-0.5805
308,Lille,228328,France,50.633,3.05858
350,Rennes,209375,France,48.112,-1.67429
382,Reims,196565,France,49.25,4.03333
403,Le Havre,185972,France,49.4938,0.10767
411,Cergy-Pontoise,183430,France,49.0389,2.07805
